,_id,count,display_url,"function (description, open = """", blocking = TRUE, encoding = getOption(""encoding""), method = getOption(""url.method"", ""default"")) 
{
    method <- match.arg(method, c(""default"", ""internal"", ""libcurl"", ""wininet""))
    .Internal(url(description, open, blocking, encoding, method))
}"
1,https://twitter.com/AFP/status/961122278707691520,19253,https://twitter.com/AFP/status/961122278707691520,https://twitter.com/AFP/status/961122278707691520
2,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw,3553,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw
3,http://u.afp.com/oJTq,2844,http://u.afp.com/oJTq,http://u.afp.com/oJTq
4,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals,1951,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals
5,https://www.indy100.com/article/cheddar-man-black-skin-dark-bias-uk-ethncity-dna-first-britons-black-racism-8198721,1403,https://www.indy100.com/article/cheddar-man-black-skin-dark-bias-uk-ethncity-dna-first-britons-black-racism-8198721,https://www.indy100.com/article/cheddar-man-black-skin-dark-bias-uk-ethncity-dna-first-britons-black-racism-8198721
6,anonymised,1262,anonymised,anonymised
7,https://twitter.com/afp/status/961122278707691520,1183,https://twitter.com/afp/status/961122278707691520,https://twitter.com/afp/status/961122278707691520
8,https://twitter.com/bfmtv/status/961544890537693185,785,https://twitter.com/bfmtv/status/961544890537693185,https://twitter.com/bfmtv/status/961544890537693185
9,http://www.bbc.com/news/science-environment-42939192,746,http://www.bbc.com/news/science-environment-42939192,http://www.bbc.com/news/science-environment-42939192
10,http://on.cc.com/2FTIpmL,716,http://on.cc.com/2FTIpmL,http://on.cc.com/2FTIpmL
11,https://twitter.com/newscientist/status/966639872520937474,706,https://twitter.com/newscientist/status/966639872520937474,https://twitter.com/newscientist/status/966639872520937474
12,http://bbc.in/2C14JbF,704,http://bbc.in/2C14JbF,http://bbc.in/2C14JbF
13,http://bit.ly/2BIrULq,674,http://bit.ly/2BIrULq,http://bit.ly/2BIrULq
14,http://www.bbc.co.uk/news/science-environment-42939192,644,http://www.bbc.co.uk/news/science-environment-42939192,http://www.bbc.co.uk/news/science-environment-42939192
15,https://twitter.com/BBCNews/status/961156442672848896,632,https://twitter.com/BBCNews/status/961156442672848896,https://twitter.com/BBCNews/status/961156442672848896
16,https://twitter.com/newscientist/status/966808851247968256,620,https://twitter.com/newscientist/status/966808851247968256,https://twitter.com/newscientist/status/966808851247968256
17,https://twitter.com/earlxsweat/status/961365077885706241,490,https://twitter.com/earlxsweat/status/961365077885706241,https://twitter.com/earlxsweat/status/961365077885706241
18,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/,469,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/,https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/
19,anonymised,410,anonymised,anonymised
20,http://bit.ly/2CcHGiz,386,http://bit.ly/2CcHGiz,http://bit.ly/2CcHGiz
21,anonymised,366,anonymised,anonymised
22,anonymised,303,anonymised,anonymised
23,http://www.independent.co.uk/news/science/cheddar-man-first-modern-briton-black-dark-skinned-all-africa-descendants-scientific-research-latest-a8198656.html,301,http://www.independent.co.uk/news/science/cheddar-man-first-modern-briton-black-dark-skinned-all-africa-descendants-scientific-research-latest-a8198656.html,http://www.independent.co.uk/news/science/cheddar-man-first-modern-briton-black-dark-skinned-all-africa-descendants-scientific-research-latest-a8198656.html
24,https://twitter.com/claire_phipps/status/961118035456249856,298,https://twitter.com/claire_phipps/status/961118035456249856,https://twitter.com/claire_phipps/status/961118035456249856
25,anonymised,288,anonymised,anonymised
26,anonymised,282,anonymised,anonymised
27,https://twitter.com/ajplus/status/961475450651340800,263,https://twitter.com/ajplus/status/961475450651340800,https://twitter.com/ajplus/status/961475450651340800
28,https://twitter.com/greg_jenner/status/961017444734242816,254,https://twitter.com/greg_jenner/status/961017444734242816,https://twitter.com/greg_jenner/status/961017444734242816
29,http://www.independent.co.uk/news/science/archaeology/cheddar-man-face-first-modern-briton-revealed-pioneering-research-natural-history-museum-alfons-a8198066.html,235,http://www.independent.co.uk/news/science/archaeology/cheddar-man-face-first-modern-briton-revealed-pioneering-research-natural-history-museum-alfons-a8198066.html,http://www.independent.co.uk/news/science/archaeology/cheddar-man-face-first-modern-briton-revealed-pioneering-research-natural-history-museum-alfons-a8198066.html
30,https://twitter.com/nowthisnews/status/961420086517968896,227,https://twitter.com/nowthisnews/status/961420086517968896,https://twitter.com/nowthisnews/status/961420086517968896
31,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_iOSApp_Other,221,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_iOSApp_Other,https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_iOSApp_Other
32,anonymised,218,anonymised,anonymised
33,http://aje.io/dnerx,203,http://aje.io/dnerx,http://aje.io/dnerx
