"","Link","Date","Frequency"
"4318","https://twitter.com/AFP/status/961122278707691520","2018-02-07",5330
"22330","https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals","2018-02-07",4550
"1669","http://u.afp.com/oJTq","2018-02-07",1910
"4570","https://twitter.com/BBCNews/status/961156442672848896","2018-02-07",1412
"21946","https://www.indy100.com/article/cheddar-man-black-skin-dark-bias-uk-ethncity-dna-first-britons-black-racism-8198721","2018-02-07",547
"1908","http://www.bbc.com/news/science-environment-42939192","2018-02-07",370
"3839","https://goo.gl/Sdo7i9","2018-02-07",191
"2053","http://www.independent.co.uk/news/science/archaeology/cheddar-man-face-first-modern-briton-revealed-pioneering-research-natural-history-museum-alfons-a8198066.html","2018-02-07",185
"33","http://aje.io/dnerx","2018-02-07",184
"2060","http://www.independent.co.uk/news/science/cheddar-man-first-modern-briton-black-dark-skinned-all-africa-descendants-scientific-research-latest-a8198656.html","2018-02-07",179
"294174","https://www.biorxiv.org/content/early/2018/02/18/267443","2018-02-19",84
"277191","https://twitter.com/Channel4News/status/964556982312226822","2018-02-19",68
"294213","https://www.defendevropa.org/2018/uncategorized/cheddar-man-channel-4-attacks-british-identity/","2018-02-19",31
"276512","https://republicstandard.com/black-cheddar-man-war-white-british-identity/","2018-02-19",12
"385306","https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/","2018-02-23",1201
"383796","https://twitter.com/newscientist/status/966639872520937474","2018-02-23",641
"383798","https://twitter.com/newscientist/status/966808851247968256","2018-02-23",494
"364356","http://newobserveronline.com/black-skinned-cheddar-man-claims-untrue-admits-new-scientist-magazine/","2018-02-23",121
"385006","https://www.defendevropa.org/2018/heritage-identity/6165/","2018-02-23",52
"367502","https://twitter.com/AFP/status/961122278707691520","2018-02-23",33
"383791","https://twitter.com/newscientist/status/966576519953993728","2018-02-23",31
"367308","https://republicstandard.com/black-cheddar-man-war-white-british-identity/","2018-02-23",31
"364836","http://tweetedtimes.com/media/newscientist/all?s=tnp","2018-02-23",13
"546752","http://www.dailymail.co.uk/sciencetech/article-5453665/Was-Cheddar-man-white-all.html","2018-03-03",68
"549094","https://twitter.com/AFP/status/961122278707691520","2018-03-03",10
