"Link","Frequency"
"https://twitter.com/AFP/status/961122278707691520",19253
"https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=share_btn_tw",3553
"http://u.afp.com/oJTq",2844
"https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals",1951
"https://www.indy100.com/article/cheddar-man-black-skin-dark-bias-uk-ethncity-dna-first-britons-black-racism-8198721",1403
"anonymised",1262
"https://twitter.com/afp/status/961122278707691520",1183
"https://twitter.com/bfmtv/status/961544890537693185",785
"http://www.bbc.com/news/science-environment-42939192",746
"http://on.cc.com/2FTIpmL",716
"https://twitter.com/newscientist/status/966639872520937474",706
"http://bbc.in/2C14JbF",704
"http://bit.ly/2BIrULq",674
"http://www.bbc.co.uk/news/science-environment-42939192",644
"https://twitter.com/BBCNews/status/961156442672848896",632
"https://twitter.com/newscientist/status/966808851247968256",620
"https://twitter.com/earlxsweat/status/961365077885706241",490
"https://www.newscientist.com/article/2161867-ancient-dark-skinned-briton-cheddar-man-find-may-not-be-true/",469
"anonymised",410
"http://bit.ly/2CcHGiz",386
"anonymised",366
"anonymised",303
"http://www.independent.co.uk/news/science/cheddar-man-first-modern-briton-black-dark-skinned-all-africa-descendants-scientific-research-latest-a8198656.html",301
"https://twitter.com/claire_phipps/status/961118035456249856",298
"anonymised",288
"anonymised",282
"https://twitter.com/ajplus/status/961475450651340800",263
"https://twitter.com/greg_jenner/status/961017444734242816",254
"http://www.independent.co.uk/news/science/archaeology/cheddar-man-face-first-modern-briton-revealed-pioneering-research-natural-history-museum-alfons-a8198066.html",235
"https://twitter.com/nowthisnews/status/961420086517968896",227
"https://www.theguardian.com/science/2018/feb/07/first-modern-britons-dark-black-skin-cheddar-man-dna-analysis-reveals?CMP=Share_iOSApp_Other",221
"anonymised",218
"http://aje.io/dnerx",203
